topic_id,topic_label,rank,paper_id,year,title,decision,avg_rating,avg_rating_z_year,topic_prob,openreview_url,semantic_scholar_search_url
0,model | method | image,1,0NMzBwqaAJ,2024,Not All Tokens Are What You Need for Pretraining,Accept (oral),7.666666666666667,2.755610624245837,1.0,https://openreview.net/forum?id=0NMzBwqaAJ,https://www.semanticscholar.org/search?q=Not+All+Tokens+Are+What+You+Need+for+Pretraining
0,model | method | image,2,mp8u2Pcmqz,2024,DuQuant: Distributing Outliers via Dual Transformation Makes Stronger Quantized LLMs,Accept (oral),7.6,2.6532307001509863,1.0,https://openreview.net/forum?id=mp8u2Pcmqz,https://www.semanticscholar.org/search?q=DuQuant%3A+Distributing+Outliers+via+Dual+Transformation+Makes+Stronger+Quantized+LLMs
0,model | method | image,3,n84bzMrGUD,2023,Clifford Group Equivariant Neural Networks,Accept (oral),7.6,2.5792865868907024,1.0,https://openreview.net/forum?id=n84bzMrGUD,https://www.semanticscholar.org/search?q=Clifford+Group+Equivariant+Neural+Networks
0,model | method | image,4,w116w62fxH,2023,Optimal Learners for Realizable Regression: PAC Learning and Online Learning,Accept (oral),7.6,2.5792865868907024,1.0,https://openreview.net/forum?id=w116w62fxH,https://www.semanticscholar.org/search?q=Optimal+Learners+for+Realizable+Regression%3A+PAC+Learning+and+Online+Learning
0,model | method | image,5,OycU0bAus6,2024,DenoiseRep: Denoising Model for Representation Learning,Accept (oral),7.5,2.499660814008712,1.0,https://openreview.net/forum?id=OycU0bAus6,https://www.semanticscholar.org/search?q=DenoiseRep%3A+Denoising+Model+for+Representation+Learning
1,graph | node | gnn,1,R8SolCx62K,2024,Exploitation of a Latent Mechanism in Graph Contrastive Learning: Representation Scattering,Accept (oral),8.75,4.419284390787144,1.0,https://openreview.net/forum?id=R8SolCx62K,https://www.semanticscholar.org/search?q=Exploitation+of+a+Latent+Mechanism+in+Graph+Contrastive+Learning%3A+Representation+Scattering
1,graph | node | gnn,2,atDcnWqG5n,2024,Logical characterizations of recurrent graph neural networks with reals and floats,Accept (poster),7.5,2.499660814008712,1.0,https://openreview.net/forum?id=atDcnWqG5n,https://www.semanticscholar.org/search?q=Logical+characterizations+of+recurrent+graph+neural+networks+with+reals+and+floats
1,graph | node | gnn,3,UDqHhbqYJV,2023,Can Language Models Solve Graph Problems in Natural Language?,Accept (spotlight),7.4,2.2753181338257673,1.0,https://openreview.net/forum?id=UDqHhbqYJV,https://www.semanticscholar.org/search?q=Can+Language+Models+Solve+Graph+Problems+in+Natural+Language%3F
1,graph | node | gnn,4,wT2KhEb97a,2024,Iterative Methods via Locally Evolving Set Process,Accept (poster),7.333333333333333,2.2437110037715873,1.0,https://openreview.net/forum?id=wT2KhEb97a,https://www.semanticscholar.org/search?q=Iterative+Methods+via+Locally+Evolving+Set+Process
1,graph | node | gnn,5,EoDpq18R30,2023,Reconciling Competing Sampling Strategies of Network Embedding,Accept (poster),7.333333333333333,2.173995316137454,1.0,https://openreview.net/forum?id=EoDpq18R30,https://www.semanticscholar.org/search?q=Reconciling+Competing+Sampling+Strategies+of+Network+Embedding
2,brain | neural | activity,1,qTypwXvNJa,2024,Geodesic Optimization for Predictive Shift Adaptation on EEG data,Accept (spotlight),7.5,2.499660814008712,1.0,https://openreview.net/forum?id=qTypwXvNJa,https://www.semanticscholar.org/search?q=Geodesic+Optimization+for+Predictive+Shift+Adaptation+on+EEG+data
2,brain | neural | activity,2,AbTpJl7vN6,2024,Flexible task abstractions emerge in linear networks with fast and bounded units,Accept (spotlight),7.333333333333333,2.2437110037715873,1.0,https://openreview.net/forum?id=AbTpJl7vN6,https://www.semanticscholar.org/search?q=Flexible+task+abstractions+emerge+in+linear+networks+with+fast+and+bounded+units
2,brain | neural | activity,3,8qu52Fl1Dt,2024,NeuroClips: Towards High-fidelity and Smooth fMRI-to-Video Reconstruction,Accept (oral),7.333333333333333,2.2437110037715873,1.0,https://openreview.net/forum?id=8qu52Fl1Dt,https://www.semanticscholar.org/search?q=NeuroClips%3A+Towards+High-fidelity+and+Smooth+fMRI-to-Video+Reconstruction
2,brain | neural | activity,4,nw9JmfL99s,2024,Nonlinear dynamics of localization in neural receptive fields,Accept (spotlight),7.333333333333333,2.2437110037715873,1.0,https://openreview.net/forum?id=nw9JmfL99s,https://www.semanticscholar.org/search?q=Nonlinear+dynamics+of+localization+in+neural+receptive+fields
